address,before_optimized_token,optimized_80p_token,optimized_50_token,optimize_20p_token
0x08f098fe15179a9e3406fb30c49ee8ff4ae7d42f,1562,1224,753,304
0x08f5a9235b08173b7569f83645d2c7fb55e8ccd8,1559,1238,754,303
0x08fa47c50bc9c05ec1a16d310d08f9c40beedf94,1530,1210,712,298
0x08fc9307e928076062460a0c4db0d2461591ed71,1502,1193,744,300
0x08fca9bfaed36c29ee3435206158f13dedf4a859,1533,1212,743,309
0x08fd34559f2ed8585d3810b4d96ab8a05c9f97c5,1508,1195,741,298
0x0907fe14b47cecde6138b48ad33469495bf8f295,223,173,105,44
0x0908f1678ea2aa69912ed9b45861e2cfe5c41c35,1513,1201,742,303
0x090fC358FA1a992C083590c7dd33Ad5208A02e9d,1566,1259,773,310
0x0911ccc23dab34d2aed4b6d1cc00f49ab2451e1f,1069,847,520,202
0x09133d5AcFF2353d3860F1dc455589A941cF5EBd,1524,1218,750,318
0x09181c5e6f1bb206d1d1df5a43be922322b378bf,1492,1170,729,303
0x0920eab34b13eabdef261a68e2883713ed620946,922,750,458,167
0x09263d1a5ed92e2576b455a409676cfbc4f7d275,1406,1097,661,264
0x0927feb960012fbceaac13612300d565ed50ae57,1571,1252,768,316
0x09287b5f9eb273023facd94ab5a61f5af749ecc8,1564,1248,735,307
0x092cc215a5018f0ee10ade9ebec4db6ce25264b0,1069,847,520,202
0x09617f6fd6cf8a71278ec86e23bbab29c04353a7,1562,1243,774,303
0x0961ab89e7a6e557c30f30368480b55bc8fa41f1,1069,847,520,202
0x0964f4a42f902ce85973f3083541fd080369b87e,1597,1278,770,303
0x09678741bd50c3e74301f38fbd0136307099ae5d,1530,1198,745,298
0x096d7ce60278e623c0b5763a0d04fde844d2c537,1514,1220,758,303
0x096f35b262b4785876f1ed04fc7c474ae58a21b6,1069,847,520,202
0x096f4002747bde03416dc979e8a9bab48cf8ed85,1505,1184,719,286
0x098af9afa803e2598bda464ea2fa0e144649f3f9,782,616,384,150
0x0994B7e142C0AC1B6554DaA64c7865dDC4e54DF7,1582,1259,773,317
0x09971fb3ebd22e3afea9f214ddbc85a03f993fe9,1511,1198,753,311
0x09a347a9d6ea6f319b3ff05b14cee12a8c2d3d6e,1571,1272,779,325
0x09a9b53a3c0aa29004b91b3e7448fc9fc8aae300,1069,847,520,202
0x09c93ba00e0f908a8b6853357321b418eb4fe787,1511,1208,712,295
0x09d8b66c48424324b25754a873e290cae5dca439,1506,1184,716,281
0x09debe702678140c1be278213109719fab98d0d8,1069,847,520,202
0x09e33737e4b56ffd7fa092fae2109662141ab87f,377,292,180,71
0x09e974b6e99293f5f53c595e8cedda7965611e69,1093,842,506,213
0x09f12bec5a14ca52cce842d8b885664299ba5ac8,1555,1238,757,302
0x09f5ee84f440eeba099fcfa6bcf421811a051168,1138,910,544,209
0x09fe365076429a478f8b5391de59c362d3ab5004,1493,1186,717,287
0x0a0af8a0604ba0c40d81e6b766a0f44aa6616431,1069,847,520,202
0x0a1524bfbb8905de0a3b15bdf8d678e7fb9c8c68,1558,1231,772,323
0x0a18fcacf80a205119f6dace51e9119f2f1c0e5f,1513,1208,760,323
0x0a26eccb83e056bb31cbe38c4d1a73c23b572191,1069,847,520,202
0x0a283ed40e2f050b53094d08bde36f67db50bcfa,1308,1054,647,247
0x0a2a94Ded0b8C9cB3BD4Ec2ef86eeEE637A4Db7C,1059,835,507,199
0x0a2b7fd09f82b221f4704dc2501eb4c12cce346d,1631,1290,765,322
0x0a2d553217e92c6553334723f0669cc3f61fd569,1451,1132,688,287
0x0a2e310409f7589c9e8640abf98ca2b7b35f938c,1562,1228,750,298
0x0a313162fa66c21ea2641040e7e43933e6904880,1495,1189,737,289
0x0a370f465c4d80a2e0131b7e76fec8decf3629c7,1495,1202,766,315
0x0a38971163ebc064e8dc8df334e13ea8c917d06b,1069,847,520,202
0x0a40E12618c3bd5295F39416506b86A70b52e08f,1539,1227,710,292
0x0a61c13945cf8dc008097464534e3b0aeee557d6,1566,1240,776,324
0x0a630de26e5b41eaef08741e74da4018a6c2e14c,556,429,251,98
0x0a7458ee9ba969ea5959f656047085d7e99dd3dc,1536,1213,763,315
0x0a7fe56109bacbcc525142aede71ab5bf8934cf2,1256,982,609,248
0x0a9Aa2003215BfBc6caf9a49256e9F4EC42b3c3D,1490,1188,717,284
